Call_ID,Date,Company,Call_Type,ETA_Minutes,Actual_Response_Minutes,Response_Delta_Minutes,On_Scene_Time_Minutes,Transport_Time_Minutes,Pay_Rate_Hourly,Pay_Tier,Shift_Type,Daily_Call_Volume,Performance_Rating,Is_Late,Had_Negative_Delta
C0124,6/7/2025,Senior Care Ambulance,Non-Emergency,11,11,0,23,37,20,Low ($19-21),Day,54,Excellent,FALSE,FALSE
C0255,1/28/2025,AMR,Non-Emergency,8,8,0,21,18,21,Low ($19-21),Day,74,Good,FALSE,FALSE
C0154,5/16/2025,Mount Sinai,Emergency,10,13,52,13,18,35,High ($28-35),Day,68,Below Average,TRUE,FALSE
C0024,4/15/2025,AMR,Non-Emergency,9,9,0,13,43,21,Low ($19-21),Night,36,Excellent,FALSE,FALSE
C0034,3/27/2025,Citywide Ambulance,Non-Emergency,8,11,3,12,37,22,Low ($19-21),Night,39,Excellent,FALSE,FALSE
C0256,2/18/2025,Hunter Ambulance,Non-Emergency,12,20,67,22,29,19.5,Low ($19-21),Night,72,Fair,TRUE,FALSE
C0082,1/7/2025,Senior Care Ambulance,Non-Emergency,10,24,45,17,44,20,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0208,3/13/2025,Ambulnz,Non-Emergency,13,20,7,15,20,28,High ($28-35),Day,50,Poor,TRUE,FALSE
C0213,4/2/2025,Senior Care Ambulance,Non-Emergency,8,27,19,17,19,20,Low ($19-21),Night,35,Good,TRUE,FALSE
C0040,3/21/2025,Citywide Ambulance,Emergency,6,19,13,20,27,22,Low ($19-21),Night,52,Below Average,TRUE,FALSE
C0230,2/11/2025,Hunter Ambulance,Non-Emergency,7,24,17,13,42,19.5,Low ($19-21),Day,48,Below Average,TRUE,FALSE
C0147,1/15/2025,Citywide Ambulance,Non-Emergency,14,16,2,16,21,22,Low ($19-21),Day,40,Excellent,FALSE,FALSE
C0249,5/26/2025,Ambulnz,Non-Emergency,12,25,13,12,30,28,High ($28-35),Night,42,Fair,TRUE,FALSE
C0200,5/29/2025,AMR,Non-Emergency,8,10,2,9,28,21,Low ($19-21),Night,43,Poor,FALSE,FALSE
C0015,1/20/2025,AMR,Non-Emergency,14,13,0,25,41,21,Low ($19-21),Day,40,Below Average,FALSE,TRUE
C0048,3/6/2025,Hunter Ambulance,Non-Emergency,7,27,20,9,19,19.5,Low ($19-21),Night,71,Good,TRUE,FALSE
C0095,6/25/2025,Citywide Ambulance,Non-Emergency,12,19,8,17,20,22,Low ($19-21),Night,56,Fair,TRUE,FALSE
C0260,6/20/2025,AMR,Non-Emergency,14,32,18,8,31,21,Low ($19-21),Day,36,Excellent,TRUE,FALSE
C0228,4/6/2025,Hunter Ambulance,Non-Emergency,8,11,67,24,43,19.5,Low ($19-21),Day,36,Below Average,TRUE,FALSE
C0270,4/21/2025,Hunter Ambulance,Non-Emergency,7,20,13,10,39,19.5,Low ($19-21),Night,52,Good,TRUE,FALSE
C0202,4/26/2025,Senior Care Ambulance,Non-Emergency,7,23,16,17,41,20,Low ($19-21),Night,52,Excellent,TRUE,FALSE
C0162,4/9/2025,Senior Care Ambulance,Non-Emergency,12,30,18,25,43,20,Low ($19-21),Night,71,Good,TRUE,FALSE
C0044,6/29/2025,AMR,Non-Emergency,14,23,9,21,30,21,Low ($19-21),Day,50,Fair,TRUE,FALSE
C0218,2/10/2025,Citywide Ambulance,Non-Emergency,11,21,10,25,38,22,Low ($19-21),Night,69,Poor,TRUE,FALSE
C0146,6/21/2025,Mount Sinai,Emergency,12,17,5,13,39,35,High ($28-35),Day,65,Below Average,FALSE,FALSE
C0191,1/16/2025,Mount Sinai,Emergency,10,10,0,21,28,35,High ($28-35),Night,52,Fair,FALSE,FALSE
C0221,5/25/2025,Hunter Ambulance,Non-Emergency,7,37,30,25,28,19.5,Low ($19-21),Day,49,Good,TRUE,FALSE
C0241,5/14/2025,Mount Sinai,Emergency,8,8,0,19,39,35,High ($28-35),Night,45,Good,FALSE,FALSE
C0004,2/28/2025,Citywide Ambulance,Non-Emergency,9,33,24,22,35,22,Low ($19-21),Day,45,Below Average,TRUE,FALSE
C0106,1/13/2025,Ambulnz,Non-Emergency,7,13,6,20,38,28,High ($28-35),Night,59,Fair,TRUE,FALSE
C0054,2/16/2025,Citywide Ambulance,Non-Emergency,13,29,16,21,25,22,Low ($19-21),Day,41,Excellent,TRUE,FALSE
C0134,6/15/2025,Mount Sinai,Emergency,8,12,45,14,20,35,High ($28-35),Day,75,Good,TRUE,FALSE
C0002,6/16/2025,Senior Care Ambulance,Non-Emergency,13,23,10,8,39,20,Low ($19-21),Night,62,Fair,TRUE,FALSE
C0132,6/16/2025,Citywide Ambulance,Emergency,6,18,12,13,44,22,Low ($19-21),Day,60,Fair,TRUE,FALSE
C0104,3/27/2025,Citywide Ambulance,Non-Emergency,11,16,5,13,41,22,Low ($19-21),Night,64,Fair,FALSE,FALSE
C0050,6/10/2025,Citywide Ambulance,Emergency,7,5,0,10,20,22,Low ($19-21),Day,61,Fair,FALSE,TRUE
C0164,1/2/2025,Ambulnz,Non-Emergency,12,12,0,18,28,28,High ($28-35),Night,73,Excellent,FALSE,FALSE
C0081,5/4/2025,Senior Care Ambulance,Non-Emergency,7,17,10,11,39,20,Low ($19-21),Day,71,Good,TRUE,FALSE
C0206,2/24/2025,Hunter Ambulance,Non-Emergency,13,19,4,15,35,19.5,Low ($19-21),Day,66,Fair,FALSE,FALSE
C0035,4/10/2025,Hunter Ambulance,Non-Emergency,6,24,18,20,30,19.5,Low ($19-21),Day,57,Good,TRUE,FALSE
C0269,4/22/2025,Ambulnz,Non-Emergency,8,19,45,10,16,28,High ($28-35),Night,51,Below Average,TRUE,FALSE
C0008,5/16/2025,Hunter Ambulance,Non-Emergency,14,19,18,11,36,19.5,Low ($19-21),Day,52,Excellent,TRUE,FALSE
C0172,6/7/2025,Citywide Ambulance,Emergency,12,17,5,14,23,22,Low ($19-21),Night,39,Fair,FALSE,FALSE
C0199,5/16/2025,Citywide Ambulance,Emergency,6,18,12,16,17,22,Low ($19-21),Day,49,Good,TRUE,FALSE
C0111,6/30/2025,Senior Care Ambulance,Non-Emergency,10,7,0,14,18,20,Low ($19-21),Night,39,Fair,FALSE,TRUE
C0092,3/29/2025,Mount Sinai,Emergency,8,13,52,24,31,35,High ($28-35),Day,45,Poor,TRUE,FALSE
C0053,3/24/2025,Senior Care Ambulance,Non-Emergency,9,15,6,8,39,20,Low ($19-21),Night,52,Fair,TRUE,FALSE
C0242,1/6/2025,Ambulnz,Non-Emergency,11,14,3,20,43,28,High ($28-35),Night,51,Excellent,FALSE,FALSE
C0014,1/14/2025,AMR,Non-Emergency,7,4,45,11,22,21,Low ($19-21),Night,47,Fair,TRUE,FALSE
C0089,2/9/2025,Ambulnz,Non-Emergency,8,9,1,22,39,28,High ($28-35),Day,72,Excellent,FALSE,FALSE
C0167,6/18/2025,Ambulnz,Non-Emergency,12,20,8,23,33,28,High ($28-35),Night,69,Good,TRUE,FALSE
C0156,6/13/2025,Hunter Ambulance,Non-Emergency,8,14,6,18,33,19.5,Low ($19-21),Day,68,Below Average,TRUE,FALSE
C0135,2/5/2025,Mount Sinai,Emergency,6,6,0,16,45,35,High ($28-35),Day,54,Excellent,FALSE,FALSE
C0241,5/14/2025,Mount Sinai,Emergency,8,8,0,19,39,35,High ($28-35),Night,45,Good,FALSE,FALSE
C0244,3/11/2025,Citywide Ambulance,Non-Emergency,12,30,18,11,24,22,Low ($19-21),Day,41,Below Average,TRUE,FALSE
C0055,5/21/2025,Hunter Ambulance,Non-Emergency,7,27,20,20,42,19.5,Low ($19-21),Day,35,Fair,TRUE,FALSE
C0051,4/27/2025,Ambulnz,Non-Emergency,9,15,6,14,28,28,High ($28-35),Day,69,Fair,TRUE,FALSE
C0175,6/15/2025,Hunter Ambulance,Non-Emergency,8,22,14,18,41,19.5,Low ($19-21),Night,52,Excellent,TRUE,FALSE
C0190,1/4/2025,Senior Care Ambulance,Non-Emergency,8,8,0,21,26,20,Low ($19-21),Day,46,Good,FALSE,FALSE
C0188,4/9/2025,Mount Sinai,Emergency,8,10,2,15,32,35,High ($28-35),Day,73,Poor,FALSE,FALSE
C0170,3/29/2025,Mount Sinai,Emergency,13,13,0,22,25,35,High ($28-35),Day,52,Good,FALSE,FALSE
C0059,3/18/2025,Senior Care Ambulance,Non-Emergency,13,27,14,23,26,20,Low ($19-21),Day,70,Good,TRUE,FALSE
C0049,6/2/2025,Mount Sinai,Emergency,14,17,3,17,42,35,High ($28-35),Day,62,Excellent,FALSE,FALSE
C0236,6/24/2025,Senior Care Ambulance,Non-Emergency,9,26,17,17,28,20,Low ($19-21),Day,58,Poor,TRUE,FALSE
C0253,5/21/2025,Mount Sinai,Emergency,7,16,9,17,43,35,High ($28-35),Day,70,Fair,TRUE,FALSE
C0022,1/12/2025,Mount Sinai,Emergency,8,9,1,22,32,35,High ($28-35),Night,62,Good,FALSE,FALSE
C0161,3/11/2025,Mount Sinai,Emergency,7,7,0,25,31,35,High ($28-35),Night,52,Excellent,FALSE,FALSE
C0277,1/5/2025,Citywide Ambulance,Emergency,12,25,13,9,32,22,Low ($19-21),Day,69,Fair,TRUE,FALSE
C0192,2/9/2025,AMR,Non-Emergency,7,25,18,15,16,21,Low ($19-21),Night,40,Good,TRUE,FALSE
C0258,6/27/2025,Hunter Ambulance,Non-Emergency,11,17,6,12,19,19.5,Low ($19-21),Night,73,Poor,TRUE,FALSE
C0150,4/3/2025,Senior Care Ambulance,Non-Emergency,7,21,14,18,44,20,Low ($19-21),Night,58,Excellent,TRUE,FALSE
C0131,1/2/2025,Hunter Ambulance,Non-Emergency,8,8,0,23,30,19.5,Low ($19-21),Night,47,Poor,FALSE,FALSE
C0152,5/6/2025,Hunter Ambulance,Non-Emergency,11,25,14,23,20,19.5,Low ($19-21),Day,38,Good,TRUE,FALSE
C0100,1/26/2025,Mount Sinai,Emergency,8,9,1,23,37,35,High ($28-35),Night,65,Excellent,FALSE,FALSE
C0088,3/21/2025,Senior Care Ambulance,Non-Emergency,8,22,0,14,43,20,Low ($19-21),Day,57,Fair,FALSE,TRUE
C0215,4/25/2025,Citywide Ambulance,Non-Emergency,9,18,9,16,40,22,Low ($19-21),Day,52,Fair,TRUE,FALSE
C0122,4/9/2025,Ambulnz,Non-Emergency,10,10,0,11,19,28,High ($28-35),Day,60,Excellent,FALSE,FALSE
C0021,5/22/2025,Ambulnz,Non-Emergency,10,21,11,14,36,28,High ($28-35),Night,51,Poor,TRUE,FALSE
C0189,3/19/2025,Citywide Ambulance,Non-Emergency,14,19,5,9,40,22,Low ($19-21),Night,66,Below Average,FALSE,FALSE
C0072,5/19/2025,AMR,Non-Emergency,8,32,24,23,34,21,Low ($19-21),Night,52,Excellent,TRUE,FALSE
C0107,3/10/2025,Hunter Ambulance,Non-Emergency,7,34,27,13,32,19.5,Low ($19-21),Day,55,Excellent,TRUE,FALSE
C0271,3/19/2025,Senior Care Ambulance,Non-Emergency,13,36,23,8,30,20,Low ($19-21),Night,69,Good,TRUE,FALSE
C0103,5/10/2025,AMR,Non-Emergency,13,22,52,16,38,21,Low ($19-21),Day,57,Excellent,TRUE,FALSE
