Call_ID,Date,Company,Call_Type,ETA_Minutes,Actual_Response_Minutes,Response_Delta_Minutes,On_Scene_Time_Minutes,Transport_Time_Minutes,Pay_Rate_Hourly,Shift_Type,Daily_Call_Volume,Performance_Rating
C0167,06/18/2025,Ambulnz,Non-Emergency,12,20.0,8,23,33,28.0,night,69.0,good
C0156,06/13/2025,Hunter Ambulance,Non-Emergency,8,14.0,6,18,33,19.5,Day,68.0,Below Average
C0135,2025-02-05,Mount Sinai,Emergency,6,6.0,0,16,45,35.0,day,54.0,Excellent
C0241,May 14 2025,  Mount Sinai  ,Emergency,8,8.0,0,19,39,35.0,Night,45.0,good
C0244,2025-03-11,Citywide Ambulance,IFT,12,30.0,18,11,24,22.0,Day,41.0,Below Average
C0055,05/21/2025,Hunter Ambulance,non-emerg,7,27.0,20,20,42,19.5,DAY,35.0,fair
C0051,04/27/2025,Ambulnz,Non-Emergency,9,15.0,6,14,28,28.0,Day,69.0,Fair
C0175,Jun 15 2025,Hunter Ambulance,IFT,8,22.0,14,18,41,19.5,night,,excellent
C0190,2025-01-04,  Senior Care Ambulance  ,Interfacility Transfer,8,8.0,0,21,26,20.0,DAY,46.0,Good
C0188,Apr 09 2025,Mt Sinai,Emergency,8,10.0,2,15,32,35.0,DAY,73.0,Poor
C0170,Mar 29 2025,  Mount Sinai EMS  ,Emergency,13,13.0,0,22,25,35.0,Day,,Good
C0059,2025-03-18,Senior Care Ambulance,Non-Emergency,13,27.0,14,23,26,20.0,day,70.0,good
C0049,Jun 02 2025,Mount Sinai,Emergency,14,17.0,3,17,42,35.0,DAY,62.0,Excellent
C0236,2025-06-24,Senior Care Ambulance,Non-Emergency,9,26.0,17,17,28,20.0,day,58.0,Poor
C0253,05/21/2025,MountSinai,Emergency,7,16.0,9,17,43,35.0,DAY,70.0,fair
C0022,01/12/2025,MountSinai,911,8,9.0,1,22,32,35.0,NIGHT,62.0,Good
C0161,03/11/2025,MSHS,Emergency,7,7.0,0,25,31,35.0,night,,excellent
C0277,2025-01-05,Citywide Ambulance,Emergency,12,25.0,13,9,32,22.0,day,69.0,fair
C0192,Feb 09 2025,AMR,non-emerg,7,25.0,18,15,16,21.0,Night,40.0,Good
C0258,Jun 27 2025,Hunter Ambulance,IFT,11,17.0,6,12,19,19.5,night,73.0,Poor
C0150,Apr 03 2025,Senior Care Ambulance,Non-Emergency,7,21.0,14,18,44,20.0,Night,58.0,Excellent
C0131,2025-01-02,Hunter Ambulance,Interfacility Transfer,8,8.0,0,23,30,19.5,NIGHT,47.0,Poor
C0152,2025-05-06,Hunter Ambulance,IFT,11,25.0,14,23,20,19.5,DAY,38.0,Good
C0100,2025-01-26,Mount Sinai,Emergency,8,9.0,1,23,37,35.0,Night,65.0,Excellent
C0088,Mar 21 2025,Senior Care Ambulance,Non-Emergency,8,22.0,-5,14,43,20.0,day,57.0,Fair
C0215,04/25/2025,Citywide Ambulance,Non-Emergency,9,18.0,9,16,40,22.0,Day,,fair
C0122,2025-04-09,Ambulnz,Non-Emergency,10,10.0,0,11,19,28.0,Day,60.0,excellent
,,,,,,,,,,,,
C0021,05/22/2025,Ambulnz,Interfacility Transfer,10,21.0,11,14,36,28.0,NIGHT,51.0,Poor
C0189,03/19/2025,Citywide Ambulance,IFT,14,19.0,5,9,40,22.0,Night,66.0,Below Average
C0072,2025-05-19,AMR,IFT,8,32.0,24,23,34,21.0,night,,excellent
C0107,2025-03-10,Hunter Ambulance,Interfacility Transfer,7,34.0,27,13,32,19.5,day,55.0,excellent
C0271,Mar 19 2025,Senior Care Ambulance,Interfacility Transfer,13,36.0,23,8,30,20.0,Night,69.0,good
C0103,May 10 2025,Amr,IFT,13,22.0,52,16,38,21.0,Day,57.0,excellent
